"name","year-month","avg_monthly_pct_change"
"AAPL","2025-12","0.025133038425582382"
"AAPL","2026-01","-0.21500422090914495"
"AAPL","2026-02","-0.005960464548695547"
"AAPL","2026-03","-0.1413638379307489"
"AAPL","2026-04","0.2856164957857259"
"AAPL","2026-05","0.8221354788212888"
"ABBV","2025-12","0.2026153715086054"
"ABBV","2026-01","0.10807375142590259"
"ABBV","2026-02","0.43027244744249254"
"ABBV","2026-03","-0.33143459105435275"
"ABBV","2026-04","0.10690408434695522"
"ABBV","2026-05","-0.14181517085997258"
"ABNB","2025-12","0.3025659333214998"
"ABNB","2026-01","-0.16359894007433004"
"ABNB","2026-02","-0.10481596201354366"
"ABNB","2026-03","0.023946324314698755"
"ABNB","2026-04","0.4335730735549022"
"ABNB","2026-05","-0.7620150396837801"
"ADBE","2025-12","-0.0462243274494537"
"ADBE","2026-01","-0.502514393149595"
"ADBE","2026-02","-0.059848398713184384"
"ADBE","2026-03","0.17943130611005903"
"ADBE","2026-04","-0.24374602670613513"
"ADBE","2026-05","-0.39603471631463116"
"AMD","2025-12","0.2611154836278101"
"AMD","2026-01","0.08774526683767073"
"AMD","2026-02","-0.3857671478211017"
"AMD","2026-03","0.514971761444574"
"AMD","2026-04","1.827675367899909"
"AMD","2026-05","0.5318860808612453"
"AMZN","2025-12","0.2273722004080403"
"AMZN","2026-01","0.15166347184593906"
"AMZN","2026-02","0.053384921422602864"
"AMZN","2026-03","0.18472756984514882"
"AMZN","2026-04","0.4486098124501354"
"AMZN","2026-05","0.28559925869916886"
"AVGO","2025-12","0.0835068084881493"
"AVGO","2026-01","-0.6037617180813498"
"AVGO","2026-02","-0.03341871017500328"
"AVGO","2026-03","-0.12912945151349253"
"AVGO","2026-04","0.8799524482509721"
"AVGO","2026-05","-0.022708289288762944"
"AXP","2025-12","-0.3097762791562967"
"AXP","2026-01","0.08188352832920132"
"AXP","2026-02","-0.5445145380941925"
"AXP","2026-03","0.1395284973482981"
"AXP","2026-04","0.23261608400547415"
"AXP","2026-05","-0.6224909184546431"
"BA","2025-12","0.2411476784005406"
"BA","2026-01","0.25553881588517624"
"BA","2026-02","-0.2637382010349923"
"BA","2026-03","-0.30102183271280086"
"BA","2026-04","0.3213025449925044"
"BA","2026-05","-0.23385545745239147"
"BAC","2025-12","-0.07624981591401646"
"BAC","2026-01","0.0787499568294646"
"BAC","2026-02","-0.12420459179367609"
"BAC","2026-03","0.1147946736852985"
"BAC","2026-04","0.2766821334664201"
"BAC","2026-05","-0.9981791916588754"
"C","2025-12","0.30304935701588015"
"C","2026-01","0.09522592560600242"
"C","2026-02","-0.18109163444507412"
"C","2026-03","0.5558891439082638"
"C","2026-04","0.2673069761211077"
"C","2026-05","-0.6246561963602724"
"CAT","2025-12","-0.13331298643534567"
"CAT","2026-01","0.4532245790559012"
"CAT","2026-02","0.5053766832176434"
"CAT","2026-03","0.1565562385528331"
"CAT","2026-04","0.5295812063288231"
"CAT","2026-05","-0.2878892967676936"
"COP","2025-12","-0.441358711017938"
"COP","2026-01","-0.10607766485341907"
"COP","2026-02","0.33149647884228556"
"COP","2026-03","0.32229595869512145"
"COP","2026-04","0.18613841648977475"
"COP","2026-05","-0.053227107280333544"
"COST","2025-12","0.1044280781923439"
"COST","2026-01","0.4154174136911341"
"COST","2026-02","0.28718835304529433"
"COST","2026-03","-0.03377863848574217"
"COST","2026-04","0.15991666919593714"
"COST","2026-05","0.4021626128671263"
"CRM","2025-12","0.30032038421745116"
"CRM","2026-01","-0.6359407089426059"
"CRM","2026-02","0.20110197928108706"
"CRM","2026-03","0.025678328929920946"
"CRM","2026-04","-0.4491701984156132"
"CRM","2026-05","-0.5605513082915857"
"CSCO","2025-12","0.10514203334154407"
"CSCO","2026-01","0.04435348202577027"
"CSCO","2026-02","0.524944314883233"
"CSCO","2026-03","0.04836830440066748"
"CSCO","2026-04","0.7341189463412262"
"CSCO","2026-05","0.9721086084667365"
"CVS","2025-12","0.25935018452490954"
"CVS","2026-01","0.2728277350144236"
"CVS","2026-02","0.49911313647092836"
"CVS","2026-03","-0.5913486388422903"
"CVS","2026-04","0.3357605841469066"
"CVS","2026-05","0.9241326813050631"
"CVX","2025-12","0.04876098557242489"
"CVX","2026-01","0.02884581619966229"
"CVX","2026-02","0.16847915970267194"
"CVX","2026-03","0.2802402109129887"
"CVX","2026-04","-0.08080930534676967"
"CVX","2026-05","0.2163058421564932"
"DIS","2025-12","0.36688592901187456"
"DIS","2026-01","0.1541921870615864"
"DIS","2026-02","0.12078955979175038"
"DIS","2026-03","-0.2316463258985852"
"DIS","2026-04","0.254555628184464"
"DIS","2026-05","-0.6526317093319196"
